"","R","G","B","H","S","V","Pixel","Berat","Class"
"250",180,103,26,104,236,178,18372,36,"Belum Matang"
"234",160,71,22,109,234,162,21150,40,"Setengah Matang"
"77",169,92,25,106,234,170,19128,38,"Setengah Matang"
"174",165,84,25,107,236,166,19188,52,"Setengah Matang"
"254",156,108,22,100,236,154,16572,36,"Belum Matang"
"142",123,46,16,112,241,119,14649,35,"Setengah Matang"
"351",132.630000586156,64.438333431026,16.8766668620519,107.561666568974,240,126.506667448208,16689.8201840529,35.561666568974,"Belum Matang"
"24",134.693947065622,100.858393747592,16.1926150748041,97.1671106636059,241.294632719597,132.424818757223,14141.0452876878,29.2436238972005,"Belum Matang"
"191",172,68,35,112,220,175,26325,45,"Setengah Matang"
"181.1",126,47,23,113,232,119,21147,45,"Setengah Matang"
"321",132.641348174075,70.0953716859221,14.5848089044448,105.754426713334,241.302112556295,132.810965982964,14079.6634787251,32.1696178088896,"Belum Matang"
"64",159,67,25,110,233,163,20886,27,"Setengah Matang"
"255",126,82,13,99,246,111,12336,36,"Belum Matang"
"31",117,97,14,95,243,114,12870,29,"Belum Matang"
"140.1",144,69,18,107,240,147,18420,35,"Setengah Matang"
"278.1",132,47,19,113,239,126,14790,39,"Setengah Matang"
"162",211,100,32,108,223,211,21375,30,"Belum Matang"
"14",135,55,16,110,238,138,16794,35,"Belum Matang"
"231",139,70,17,107,238,137,18222,40,"Setengah Matang"
"168.4",122,55,14,108,241,115,16572,52,"Setengah Matang"
"220",173,86,24,107,237,173,14289,26,"Belum Matang"
"33",124,99,13,96,245,120,12648,29,"Belum Matang"
"25",122.422347387997,62.8275755820796,14.1982572686393,105.91378779104,242.715530522401,118.508559596958,14262.8881275512,35.5431061044801,"Belum Matang"
"240",160,89,23,105,237,162,19707,40,"Setengah Matang"
"48.2",145,71,18,108,238,144,24753,56,"Setengah Matang"
"60",138,53,21,112,238,135,23091,56,"Setengah Matang"
"278",132,47,19,113,239,126,14790,39,"Setengah Matang"
"67",160,63,23,111,237,167,19020,27,"Setengah Matang"
"361",153.370378511027,92.8858017907478,20.3425946277566,103.228396418504,241.028804775327,152.484576720279,12808.2907489305,27.8858017907478,"Belum Matang"
"9",148,55,18,111,238,150,17598,35,"Belum Matang"
"55.2",137,58,18,110,237,134,27039,56,"Setengah Matang"
"11",136,65,18,107,240,131,17748,35,"Belum Matang"
"280",131,50,16,110,240,128,12897,39,"Setengah Matang"
"144.2",160,63,20,111,238,161,18816,35,"Setengah Matang"
"2",110,38,14,113,244,108,13161,35,"Belum Matang"
"223",170,93,21,105,243,171,11292,26,"Belum Matang"
"236",202,102,34,107,226,203,29706,40,"Setengah Matang"
"225",173,105,23,102,241,174,12348,26,"Belum Matang"
"164",139,68,17,107,237,142,15333,30,"Belum Matang"
"138",169,78,28,109,229,171,22185,35,"Setengah Matang"
"44",129,107,14,95,243,125,13698,29,"Belum Matang"
"56",179,72,30,111,232,182,33570,56,"Setengah Matang"
"76",122,62,15,105,241,115,15963,38,"Setengah Matang"
"48.1",145,71,18,108,238,144,24753,56,"Setengah Matang"
"222",176,91,26,107,236,177,14547,26,"Belum Matang"
"50",139,64,17,109,239,136,23304,56,"Setengah Matang"
"284",132,53,16,110,239,129,13182,39,"Setengah Matang"
"168.3",122,55,14,108,241,115,16572,52,"Setengah Matang"
"59.1",135,61,17,109,240,134,22770,56,"Setengah Matang"
"245",154,94,21,103,236,155,17259,36,"Belum Matang"
"42",174,106,23,102,241,172,19614,29,"Belum Matang"
"212",158,88,18,104,239,158,12807,26,"Belum Matang"
"22",132.417241430841,53.3046653810889,16.6291413167492,110.615889103152,238.12582826335,129.920554484241,15862.5888425494,33.8675456298515,"Belum Matang"
"243",133,91,13,100,244,129,12615,36,"Belum Matang"
"110",176.800665806513,108.906990968389,21.2990012902301,101.59800258046,238.501664516283,177.900332903257,14715.4787690488,26.3986683869734,"Belum Matang"
"238.1",203,100,35,108,224,203,29751,40,"Setengah Matang"
"441",132.839867565315,77.3532449719496,17.4254304664209,103.265298031736,241.149139067158,127.265298031736,16490.5545757622,33.2762913992628,"Belum Matang"
"48",145,71,18,108,238,144,24753,56,"Setengah Matang"
"157",173,99,22,104,236,174,14817,30,"Belum Matang"
"37",130,87,13,101,245,127,11040,29,"Belum Matang"
"153",154,72,19,108,239,155,12615,30,"Belum Matang"
"171",116,45,15,111,240,112,15867,52,"Setengah Matang"
"87",133,58,19,108,242,126,14931,38,"Setengah Matang"
"610",132.063294088934,79.4345883405767,14.719411740778,103.063294088934,243.280588259222,128.375529392622,13346.7627914278,31.0632940889336,"Belum Matang"
"283",171,67,27,111,232,173,18993,39,"Setengah Matang"
"170.1",139,63,17,108,237,135,20958,52,"Setengah Matang"
"58",170.735451008426,88.0512030306272,22.9487969693728,106.948796969373,236.068270707503,170.71838333155,15115.3007013334,29.9914661615621,"Belum Matang"
"49",181,88,29,108,231,181,31419,56,"Setengah Matang"
"7",142,62,18,109,238,146,17106,35,"Belum Matang"
"45",148,99,18,100,240,144,14346,29,"Belum Matang"
"17",163.554995892802,107.955848126672,18.9705654177815,99.7316033861134,240.522075936664,163.286599278916,14230.9461563893,26.7610379683319,"Belum Matang"
"38",177,121,25,100,241,175,16731,29,"Belum Matang"
"142.1",123,46,16,112,241,119,14649,35,"Setengah Matang"
"252",130,64,16,108,240,123,15864,36,"Belum Matang"
"235.1",163,71,23,109,234,163,21984,40,"Setengah Matang"
"185",136,50,20,112,235,134,21771,45,"Setengah Matang"
"54",190,89,32,109,227,191,40188,56,"Setengah Matang"
"55",137,58,18,110,237,134,27039,56,"Setengah Matang"
"227",152,85,17,104,239,152,18783,40,"Setengah Matang"
"184",141,56,25,112,230,139,20040,45,"Setengah Matang"
"174.1",165,84,25,107,236,166,19188,52,"Setengah Matang"
"30",132.701745080994,87.4912263783626,13.9824527567253,101,244.263160432456,129.210518702632,11679.5767446281,29,"Belum Matang"
"531",138.227850312833,91.7614951319993,16.7201868914999,101.2798131085,243.7201868915,136.134579276666,12030.8731058906,29.6528972531669,"Belum Matang"
"65.2",180,72,33,111,227,183,22842,27,"Setengah Matang"
"177",137,72,22,106,236,129,16020,52,"Setengah Matang"
"27",126.944428477436,93.1840267798398,14.5520803395193,97.7361071193591,244,124.944428477436,11281.6243892619,29,"Belum Matang"
"159",178,78,28,109,231,178,15942,30,"Belum Matang"
"310",173.311868106946,96.8621610766277,22.2293772976846,104.688131893054,237.155934053473,173.697179458104,14999.5082433159,28.4587545953691,"Belum Matang"
"62",157,61,24,111,234,161,18879,27,"Setengah Matang"
